MM #,Name,Order,Allegiance,Rarity,Power,Def,Base Attack,Moves,Move 1 Name,Move 1 Roll,Move 1 Cooldown,Move 1 Effect,Move 2 Name,Move 2 Roll,Move 2 Cooldown,Move 2 Effect
MM-001,Swift,Order of the Star,Unbound,Wild,52,22,18,Quickstrike: 3+ | CD 1 | This attack gains +8% ATK and one allied Mystic gains +8% DEF for 1 turn.; Tailwind Dash: 5+ | CD 2 | All allied Mystics gain +8% ATK for 1 turn; this Mystic recovers 5% of maximum Power Score.,Quickstrike,3+,1,This attack gains +8% ATK and one allied Mystic gains +8% DEF for 1 turn.,Tailwind Dash,5+,2,All allied Mystics gain +8% ATK for 1 turn; this Mystic recovers 5% of maximum Power Score.
MM-063,Hourglass,Agespire,Unbound,Predator,76,33,32,Sandfall: 4+ | CD 1 | This attack gains +12% ATK and increase target's longest active Special Move recovery by 1 turn.; Stasis: 6+ | CD 2 | Reduce the target's ATK by 18% for 1 turn and increase its longest active Special Move recovery by 1 turn.,Sandfall,4+,1,This attack gains +12% ATK and increase target's longest active Special Move recovery by 1 turn.,Stasis,6+,2,Reduce the target's ATK by 18% for 1 turn and increase its longest active Special Move recovery by 1 turn.
MM-064,Relic,Agespire,Mortalbound,Hunter,61,31,22,Ancient Blow: 3+ | CD 1 | This attack gains +10% ATK and increase target's longest active Special Move recovery by 1 turn.; Remembered Guard: 5+ | CD 2 | Gain +20% DEF for 2 turn(s).,Ancient Blow,3+,1,This attack gains +10% ATK and increase target's longest active Special Move recovery by 1 turn.,Remembered Guard,5+,2,Gain +20% DEF for 2 turn(s).
MM-065,Evermore,Agespire,Ascendant,Prime,99,44,41,Eternal Strike: 4+ | CD 1 | This attack gains +15% ATK and increase target's longest active Special Move recovery by 1 turn.; Second Chance: 6+ | CD 2 | Recover 18% of this Mystic's maximum Power Score and gain +15% DEF until your next turn.,Eternal Strike,4+,1,This attack gains +15% ATK and increase target's longest active Special Move recovery by 1 turn.,Second Chance,6+,2,Recover 18% of this Mystic's maximum Power Score and gain +15% DEF until your next turn.
MM-066,Blink,Stargate,Mortalbound,Wild,47,19,18,Blink Jab: 3+ | CD 1 | This attack gains +8% ATK and reduce target DEF by 8% for this attack.; Short Hop: 5+ | CD 2 | Gain +18% DEF until your next turn and reduce the next attacker's ATK by 8% for that attack.,Blink Jab,3+,1,This attack gains +8% ATK and reduce target DEF by 8% for this attack.,Short Hop,5+,2,Gain +18% DEF until your next turn and reduce the next attacker's ATK by 8% for that attack.
MM-067,Riftling,Stargate,Unbound,Hunter,65,26,28,Rift Swipe: 3+ | CD 1 | This attack gains +10% ATK and reduce target DEF by 10% for this attack.; Portal Dodge: 5+ | CD 2 | Gain +20% DEF until your next turn and reduce the next attacker's ATK by 10% for that attack.,Rift Swipe,3+,1,This attack gains +10% ATK and reduce target DEF by 10% for this attack.,Portal Dodge,5+,2,Gain +20% DEF until your next turn and reduce the next attacker's ATK by 10% for that attack.
MM-068,Doorbit,Stargate,Mortalbound,Wild,44,21,15,Gate Bump: 3+ | CD 1 | This attack gains +8% ATK and reduce target DEF by 8% for this attack.; Shortcut: 5+ | CD 2 | Reduce both of this Mystic's active Special Move recoveries by 1 turn and gain +8% ATK for the next attack.,Gate Bump,3+,1,This attack gains +8% ATK and reduce target DEF by 8% for this attack.,Shortcut,5+,2,Reduce both of this Mystic's active Special Move recoveries by 1 turn and gain +8% ATK for the next attack.
MM-069,Wormhole,Stargate,Ascendant,Predator,84,32,38,Warp Strike: 4+ | CD 1 | This attack gains +12% ATK and reduce target DEF by 12% for this attack.; Fold Space: 6+ | CD 2 | Reduce the target's DEF by 24% for this attack and gain +12% DEF until your next turn.,Warp Strike,4+,1,This attack gains +12% ATK and reduce target DEF by 12% for this attack.,Fold Space,6+,2,Reduce the target's DEF by 24% for this attack and gain +12% DEF until your next turn.
MM-070,Riftclaw,Stargate,Voidbound,Prime,97,39,45,Rift Tear: 4+ | CD 1 | This attack gains +15% ATK and reduce target DEF by 15% for this attack.; Void Gate: 6+ | CD 2 | This attack gains +28% ATK. Lose 15% of maximum Power Score after the attack and reduce this Mystic's other Special Move recovery by 1 turn.,Rift Tear,4+,1,This attack gains +15% ATK and reduce target DEF by 15% for this attack.,Void Gate,6+,2,This attack gains +28% ATK. Lose 15% of maximum Power Score after the attack and reduce this Mystic's other Special Move recovery by 1 turn.
MM-071,Crownlet,Sovereign Order,Mortalbound,Wild,52,24,18,Command Jab: 3+ | CD 1 | This attack gains +8% ATK and reduce target ATK by 8% for 1 turn.; Rally: 5+ | CD 2 | Gain +18% ATK for 2 turn(s).,Command Jab,3+,1,This attack gains +8% ATK and reduce target ATK by 8% for 1 turn.,Rally,5+,2,Gain +18% ATK for 2 turn(s).
MM-072,Marshal,Sovereign Order,Mortalbound,Hunter,69,31,29,Order Strike: 3+ | CD 1 | This attack gains +10% ATK and reduce target ATK by 10% for 1 turn.; Discipline: 5+ | CD 2 | Gain +20% ATK for 2 turn(s).,Order Strike,3+,1,This attack gains +10% ATK and reduce target ATK by 10% for 1 turn.,Discipline,5+,2,Gain +20% ATK for 2 turn(s).
MM-073,Regent,Sovereign Order,Ascendant,Predator,83,38,35,Royal Blow: 4+ | CD 1 | This attack gains +12% ATK and reduce target ATK by 12% for 1 turn.; Decree: 6+ | CD 2 | Reduce the target's ATK by 24% for 2 turns.,Royal Blow,4+,1,This attack gains +12% ATK and reduce target ATK by 12% for 1 turn.,Decree,6+,2,Reduce the target's ATK by 24% for 2 turns.
MM-074,Tyrant,Sovereign Order,Voidbound,Prime,98,39,46,Dominion Crush: 4+ | CD 1 | This attack gains +15% ATK and reduce target ATK by 15% for 1 turn.; Submit: 6+ | CD 2 | Reduce the target's ATK by 20% for 1 turn and increase its longest active Special Move recovery by 1 turn.,Dominion Crush,4+,1,This attack gains +15% ATK and reduce target ATK by 15% for 1 turn.,Submit,6+,2,Reduce the target's ATK by 20% for 1 turn and increase its longest active Special Move recovery by 1 turn.
MM-075,Imperius,Sovereign Order,Voidbound,Alpha,111,45,50,"Crown Breaker: 4+ | CD 2 | This attack gains +10% ATK. On success, increase the target Mystic's Special Move recovery by 3 turns.; Absolute Rule: 6+ | CD 2 | This attack deals +100% ATK. After damage resolves, there is a 25% chance that one random allied Mystic loses 25% of the damage dealt from its current Power Score.",Crown Breaker,4+,2,"This attack gains +10% ATK. On success, increase the target Mystic's Special Move recovery by 3 turns.",Absolute Rule,6+,2,"This attack deals +100% ATK. After damage resolves, there is a 25% chance that one random allied Mystic loses 25% of the damage dealt from its current Power Score."
MM-076,Starbit,Order of the Star,Mortalbound,Wild,46,20,16,Star Tap: 3+ | CD 1 | This attack gains +8% ATK and one allied Mystic gains +8% DEF for 1 turn.; Guiding Glow: 5+ | CD 2 | Gain +12% DEF for 2 turns and reduce one allied Mystic's active Special Move recovery by 1 turn.,Star Tap,3+,1,This attack gains +8% ATK and one allied Mystic gains +8% DEF for 1 turn.,Guiding Glow,5+,2,Gain +12% DEF for 2 turns and reduce one allied Mystic's active Special Move recovery by 1 turn.
MM-077,Comet,Order of the Star,Unbound,Hunter,67,24,30,Comet Ram: 3+ | CD 1 | This attack gains +10% ATK and one allied Mystic gains +10% DEF for 1 turn.; Meteor Rush: 5+ | CD 2 | Gain +20% ATK for this attack and +10% ATK on your next attack.,Comet Ram,3+,1,This attack gains +10% ATK and one allied Mystic gains +10% DEF for 1 turn.,Meteor Rush,5+,2,Gain +20% ATK for this attack and +10% ATK on your next attack.
MM-078,Celestail,Order of the Star,Ascendant,Predator,81,34,36,Star Tail: 4+ | CD 1 | This attack gains +12% ATK and one allied Mystic gains +12% DEF for 1 turn.; Celestial Guard: 6+ | CD 2 | Gain +24% DEF for 2 turns. One other allied Mystic gains +12% DEF for 1 turn.,Star Tail,4+,1,This attack gains +12% ATK and one allied Mystic gains +12% DEF for 1 turn.,Celestial Guard,6+,2,Gain +24% DEF for 2 turns. One other allied Mystic gains +12% DEF for 1 turn.
MM-079,Nova,Order of the Star,Ascendant,Prime,96,38,45,"Nova Burst: 4+ | CD 1 | This attack gains +15% ATK and one allied Mystic gains +15% DEF for 1 turn.; Supernova: 6+ | CD 2 | This attack gains +28% ATK. After resolving, this Mystic gets -15% DEF until the start of your next turn.",Nova Burst,4+,1,This attack gains +15% ATK and one allied Mystic gains +15% DEF for 1 turn.,Supernova,6+,2,"This attack gains +28% ATK. After resolving, this Mystic gets -15% DEF until the start of your next turn."
MM-080,Polaris,Order of the Star,Ascendant,Alpha,108,46,47,Northstar Strike: 4+ | CD 1 | This attack gains +18% ATK and one allied Mystic gains +18% DEF for 1 turn.; Guiding Star: 6+ | CD 2 | Recover 22% of maximum Power Score and gain +25% ATK for 2 turns.,Northstar Strike,4+,1,This attack gains +18% ATK and one allied Mystic gains +18% DEF for 1 turn.,Guiding Star,6+,2,Recover 22% of maximum Power Score and gain +25% ATK for 2 turns.
MM-081,Glowmoss,Verdant Dawn,Mortalbound,Wild,54,26,18,Spore Pop: 3+ | CD 1 | This attack gains +8% ATK and the target gets -8% ATK for 1 turn.; Healing Spores: 5+ | CD 2 | Recover 10% of this Mystic's maximum Power Score and gain +8% DEF until your next turn.,Spore Pop,3+,1,This attack gains +8% ATK and the target gets -8% ATK for 1 turn.,Healing Spores,5+,2,Recover 10% of this Mystic's maximum Power Score and gain +8% DEF until your next turn.
MM-082,Granite,Worldforge,Unbound,Predator,80,43,29,Stone Fist: 4+ | CD 1 | This attack gains +12% ATK and reduce target DEF by 12% for this attack.; Bedrock: 6+ | CD 2 | Gain +24% DEF for 2 turn(s).,Stone Fist,4+,1,This attack gains +12% ATK and reduce target DEF by 12% for this attack.,Bedrock,6+,2,Gain +24% DEF for 2 turn(s).
MM-083,Solflare,Sunspire,Ascendant,Prime,93,38,42,Solar Lash: 4+ | CD 1 | This attack gains +15% ATK and reduce target DEF by 15% for 1 turn.; Flare Shield: 6+ | CD 2 | Gain +20% DEF and recover 18% of maximum Power Score.,Solar Lash,4+,1,This attack gains +15% ATK and reduce target DEF by 15% for 1 turn.,Flare Shield,6+,2,Gain +20% DEF and recover 18% of maximum Power Score.
MM-084,Lookout,Starwatch,Mortalbound,Wild,53,23,19,Scout Strike: 3+ | CD 1 | This attack gains +8% ATK and mark the target with -8% DEF for your next attack.; Spot Weakness: 5+ | CD 2 | Reduce the target's DEF by 18% for 2 turns.,Scout Strike,3+,1,This attack gains +8% ATK and mark the target with -8% DEF for your next attack.,Spot Weakness,5+,2,Reduce the target's DEF by 18% for 2 turns.
MM-085,Arcflash,First Spark,Unbound,Predator,79,30,37,"Arc Slash: 4+ | CD 1 | This attack gains +18% ATK. Afterward, this Mystic gets -6% DEF until your next turn.; Flash Charge: 6+ | CD 2 | Gain +24% ATK for 2 turn(s).",Arc Slash,4+,1,"This attack gains +18% ATK. Afterward, this Mystic gets -6% DEF until your next turn.",Flash Charge,6+,2,Gain +24% ATK for 2 turn(s).
MM-086,Moonkin,Moonveil,Mortalbound,Hunter,64,27,26,Crescent Cut: 3+ | CD 1 | This attack gains +10% ATK and reduce target ATK by 10% for 1 turn.; Dreamstep: 5+ | CD 2 | Gain +20% DEF until your next turn and reduce the next attacker's ATK by 10% for that attack.,Crescent Cut,3+,1,This attack gains +10% ATK and reduce target ATK by 10% for 1 turn.,Dreamstep,5+,2,Gain +20% DEF until your next turn and reduce the next attacker's ATK by 10% for that attack.
MM-087,Timelock,Agespire,Ascendant,Prime,90,41,38,Chrono Hit: 4+ | CD 1 | This attack gains +15% ATK and increase target's longest active Special Move recovery by 1 turn.; Lock Time: 6+ | CD 2 | Reduce the target's ATK by 20% for 1 turn and increase its longest active Special Move recovery by 1 turn.,Chrono Hit,4+,1,This attack gains +15% ATK and increase target's longest active Special Move recovery by 1 turn.,Lock Time,6+,2,Reduce the target's ATK by 20% for 1 turn and increase its longest active Special Move recovery by 1 turn.
MM-088,Gateway,Stargate,Ascendant,Prime,92,40,40,Portal Crush: 4+ | CD 1 | This attack gains +15% ATK and reduce target DEF by 15% for this attack.; Crossworld: 6+ | CD 2 | Gain +28% DEF until your next turn and reduce the target's ATK by 20% for its next attack.,Portal Crush,4+,1,This attack gains +15% ATK and reduce target DEF by 15% for this attack.,Crossworld,6+,2,Gain +28% DEF until your next turn and reduce the target's ATK by 20% for its next attack.
MM-089,Banner,Sovereign Order,Mortalbound,Hunter,62,30,24,Rally Strike: 3+ | CD 1 | Gain +15% ATK for 1 turn(s).; Stand Firm: 5+ | CD 2 | Gain +20% DEF for 2 turn(s).,Rally Strike,3+,1,Gain +15% ATK for 1 turn(s).,Stand Firm,5+,2,Gain +20% DEF for 2 turn(s).
MM-090,Starcrest,Order of the Star,Mortalbound,Prime,89,39,38,Crest Slash: 4+ | CD 1 | This attack gains +15% ATK and one allied Mystic gains +15% DEF for 1 turn.; Rallying Star: 6+ | CD 2 | Gain +28% ATK for 2 turn(s).,Crest Slash,4+,1,This attack gains +15% ATK and one allied Mystic gains +15% DEF for 1 turn.,Rallying Star,6+,2,Gain +28% ATK for 2 turn(s).
MM-091,Briar King,Verdant Dawn,Ascendant,Alpha,101,48,42,Thorn Crown: 4+ | CD 1 | This attack gains +18% ATK and the target gets -18% ATK for 1 turn.; Ancient Growth: 6+ | CD 2 | Recover 22% of maximum Power Score and gain +25% DEF for 2 turns.,Thorn Crown,4+,1,This attack gains +18% ATK and the target gets -18% ATK for 1 turn.,Ancient Growth,6+,2,Recover 22% of maximum Power Score and gain +25% DEF for 2 turns.
MM-092,Iron Titan,Worldforge,Ascendant,Alpha,115,58,44,Titan Fist: 4+ | CD 1 | This attack gains +18% ATK and reduce target DEF by 18% for this attack.; Unbreakable: 6+ | CD 2 | Gain +35% DEF for 2 turns and recover 11% of maximum Power Score.,Titan Fist,4+,1,This attack gains +18% ATK and reduce target DEF by 18% for this attack.,Unbreakable,6+,2,Gain +35% DEF for 2 turns and recover 11% of maximum Power Score.
MM-093,Helion,Sunspire,Ascendant,Alpha,112,46,50,Sun Spear: 4+ | CD 1 | This attack gains +18% ATK and reduce target DEF by 18% for 1 turn.; Solar Judgment: 6+ | CD 2 | This attack gains +35% ATK. The target loses 25% DEF until the start of your next turn.,Sun Spear,4+,1,This attack gains +18% ATK and reduce target DEF by 18% for 1 turn.,Solar Judgment,6+,2,This attack gains +35% ATK. The target loses 25% DEF until the start of your next turn.
MM-094,Oracle,Starwatch,Ascendant,Alpha,105,41,47,Foreseen Strike: 4+ | CD 1 | This attack gains +18% ATK and mark the target with -18% DEF for your next attack.; Perfect Prediction: 6+ | CD 2 | Gain +35% DEF until the start of your next turn. The attacking enemy gets -25% ATK on its next attack.,Foreseen Strike,4+,1,This attack gains +18% ATK and mark the target with -18% DEF for your next attack.,Perfect Prediction,6+,2,Gain +35% DEF until the start of your next turn. The attacking enemy gets -25% ATK on its next attack.
MM-095,Wildspark,First Spark,Unbound,Alpha,107,39,51,Wild Surge: 4+ | CD 1 | Gain +25% ATK for 1 turn(s).; Chain Burst: 6+ | CD 2 | Gain +35% ATK for this attack and reduce this Mystic's other Special Move recovery by 1 turn.,Wild Surge,4+,1,Gain +25% ATK for 1 turn(s).,Chain Burst,6+,2,Gain +35% ATK for this attack and reduce this Mystic's other Special Move recovery by 1 turn.
MM-096,Nightweaver,Moonveil,Ascendant,Alpha,104,43,46,Dream Rend: 4+ | CD 1 | This attack gains +18% ATK and reduce target ATK by 18% for 1 turn.; Waking Nightmare: 6+ | CD 2 | Reduce the target's ATK by 35% for 1 turn and increase its longest active Special Move recovery by 1 turn.,Dream Rend,4+,1,This attack gains +18% ATK and reduce target ATK by 18% for 1 turn.,Waking Nightmare,6+,2,Reduce the target's ATK by 35% for 1 turn and increase its longest active Special Move recovery by 1 turn.
MM-097,Aeon,Agespire,Ascendant,Alpha,117,50,48,Epoch Slam: 4+ | CD 1 | This attack gains +18% ATK and increase target's longest active Special Move recovery by 1 turn.; Rewind Fate: 6+ | CD 2 | Recover 22% of this Mystic's maximum Power Score and reduce both of its active Special Move recoveries by 1 turn.,Epoch Slam,4+,1,This attack gains +18% ATK and increase target's longest active Special Move recovery by 1 turn.,Rewind Fate,6+,2,Recover 22% of this Mystic's maximum Power Score and reduce both of its active Special Move recoveries by 1 turn.
MM-098,Riftlord,Stargate,Voidbound,Alpha,118,46,54,Dimensional Rend: 4+ | CD 1 | This attack gains +18% ATK and reduce target DEF by 18% for this attack.; Collapse Gate: 6+ | CD 2 | Reduce the target's DEF by 35% for this attack and increase its longest active Special Move recovery by 1 turn.,Dimensional Rend,4+,1,This attack gains +18% ATK and reduce target DEF by 18% for this attack.,Collapse Gate,6+,2,Reduce the target's DEF by 35% for this attack and increase its longest active Special Move recovery by 1 turn.
MM-099,High Regent,Sovereign Order,Ascendant,Alpha,119,52,51,Sovereign Blow: 4+ | CD 1 | This attack gains +18% ATK and reduce target ATK by 18% for 1 turn.; Royal Command: 6+ | CD 2 | Reduce the target's ATK by 25% for 2 turns and increase both of its Special Move recoveries by 1 turn.,Sovereign Blow,4+,1,This attack gains +18% ATK and reduce target ATK by 18% for 1 turn.,Royal Command,6+,2,Reduce the target's ATK by 25% for 2 turns and increase both of its Special Move recoveries by 1 turn.
MM-100,Starborn,Order of the Star,Ascendant,Alpha,119,50,54,First Light: 4+ | CD 1 | This attack gains +18% ATK and one allied Mystic gains +18% DEF for 1 turn.; Celestial Awakening: 6+ | CD 2 | This attack gains +35% ATK and this Mystic recovers 22% of its maximum Power Score. Reduce this Mystic's other Special Move recovery by 1 turn.,First Light,4+,1,This attack gains +18% ATK and one allied Mystic gains +18% DEF for 1 turn.,Celestial Awakening,6+,2,This attack gains +35% ATK and this Mystic recovers 22% of its maximum Power Score. Reduce this Mystic's other Special Move recovery by 1 turn.
